transaction_description,transaction_type,sender,recipient,account_name,category,subcategory,store,internal_indicator,payment_frequency
PAYROLL,CREDIT,ACME_PAYROLL,YOU,,Salary,Wages,Employer,External,fortnightly
COLES,DEBIT,YOU,COLES,,Food & Drink,Groceries,Coles,External,weekly
UTIL,DEBIT,YOU,UTILITY_CO,,Household & Services,Utilities,UtilityCo,External,monthly
MORTGAGE PAYMENT,DEBIT,YOU,BANK_MORTGAGE,,Mortgage,Home Loan,Mortgage,External,monthly
INTEREST,INTEREST,BANK_MORTGAGE,YOU,,Mortgage,Interest,Mortgage,External,monthly
TRANSFER,DEBIT,YOU,TRANSFER,,Bank Transaction,Internal Transfer,Internal,Internal,
AMAZON,DEBIT,YOU,AMAZON,,Shopping,Online Retail,Amazon,External,
FAMILY,DEBIT,YOU,FAMILY_ACTIVITY,,Family & Kids,Activities,Family,External,
HEALTH,DEBIT,YOU,HEALTH_SHOP,,Health & Beauty,Pharmacy,Health,External,
LEISURE,DEBIT,YOU,LEISURE_OUTLET,,Leisure,Entertainment,Leisure,External,
SHOPPING,DEBIT,YOU,SHOPPING_MALL,,Shopping,Retail,Shopping,External,
TRANSPORT,DEBIT,YOU,TRANSPORT_CO,,Transport,Public Transport,Transport,External,
PAYROLL,CREDIT,ACME_PAYROLL,YOU,ING_Countdown,Salary,Wages,Employer,External,fortnightly
COLES,DEBIT,YOU,COLES,ING_Countdown,Food & Drink,Groceries,Coles,External,weekly
UTIL,DEBIT,YOU,UTILITY_CO,ING_Countdown,Household & Services,Utilities,UtilityCo,External,monthly
MORTGAGE PAYMENT,DEBIT,YOU,BANK_MORTGAGE,ING_Countdown,Mortgage,Home Loan,Mortgage,External,monthly
INTEREST,INTEREST,BANK_MORTGAGE,YOU,ING_Countdown,Mortgage,Interest,Mortgage,External,monthly
TRANSFER,DEBIT,YOU,TRANSFER,ING_Countdown,Bank Transaction,Internal Transfer,Internal,Internal,
AMAZON,DEBIT,YOU,AMAZON,ING_Countdown,Shopping,Online Retail,Amazon,External,
FAMILY,DEBIT,YOU,FAMILY_ACTIVITY,ING_Countdown,Family & Kids,Activities,Family,External,
HEALTH,DEBIT,YOU,HEALTH_SHOP,ING_Countdown,Health & Beauty,Pharmacy,Health,External,
LEISURE,DEBIT,YOU,LEISURE_OUTLET,ING_Countdown,Leisure,Entertainment,Leisure,External,
SHOPPING,DEBIT,YOU,SHOPPING_MALL,ING_Countdown,Shopping,Retail,Shopping,External,
TRANSPORT,DEBIT,YOU,TRANSPORT_CO,ING_Countdown,Transport,Public Transport,Transport,External,
PAYROLL,CREDIT,ACME_PAYROLL,YOU,ING_BillsBillsBills,Salary,Wages,Employer,External,fortnightly
COLES,DEBIT,YOU,COLES,ING_BillsBillsBills,Food & Drink,Groceries,Coles,External,weekly
UTIL,DEBIT,YOU,UTILITY_CO,ING_BillsBillsBills,Household & Services,Utilities,UtilityCo,External,monthly
MORTGAGE PAYMENT,DEBIT,YOU,BANK_MORTGAGE,ING_BillsBillsBills,Mortgage,Home Loan,Mortgage,External,monthly
INTEREST,INTEREST,BANK_MORTGAGE,YOU,ING_BillsBillsBills,Mortgage,Interest,Mortgage,External,monthly
TRANSFER,DEBIT,YOU,TRANSFER,ING_BillsBillsBills,Bank Transaction,Internal Transfer,Internal,Internal,
AMAZON,DEBIT,YOU,AMAZON,ING_BillsBillsBills,Shopping,Online Retail,Amazon,External,
FAMILY,DEBIT,YOU,FAMILY_ACTIVITY,ING_BillsBillsBills,Family & Kids,Activities,Family,External,
HEALTH,DEBIT,YOU,HEALTH_SHOP,ING_BillsBillsBills,Health & Beauty,Pharmacy,Health,External,
LEISURE,DEBIT,YOU,LEISURE_OUTLET,ING_BillsBillsBills,Leisure,Entertainment,Leisure,External,
SHOPPING,DEBIT,YOU,SHOPPING_MALL,ING_BillsBillsBills,Shopping,Retail,Shopping,External,
TRANSPORT,DEBIT,YOU,TRANSPORT_CO,ING_BillsBillsBills,Transport,Public Transport,Transport,External,
PAYROLL,CREDIT,ACME_PAYROLL,YOU,Adelaide_Offset,Salary,Wages,Employer,External,fortnightly
